id_vivienda;id_hogar;id_hogar_unico;id_variedad;descripcion;id_unidad_medida_presentacion;id_unidad_medida;Q;cantidad_inicial;cantidad_final;factor_anual;unidad_a_convertir;fc_universal;fc_especifico;fc;descripcion_engih;enhance_id;fuente;tipo_equivalencia;validado;edible;PM
217;1;217_1;18;SALAMI;NA;2;0.5;1;0.5;389.15625;2;453.592;453592;453.592;SALAMI;70207021;INCAP;sustituto_por_criterio;TRUE;1,00;7
217;1;217_1;20;SARDINAS EN ACEITE;63;3;0;2;2;389.15625;63;NA;NA;NA;SARDINAS EN ACEITE;70208039;INCAP;directa;TRUE;1,00;7
217;1;217_1;24;PLÁTANO VERDE;NA;1;20;26;6;389.15625;1;NA;NA;NA;PLÁTANO VERDE;70212131;INCAP;directa;TRUE;0,66;7
27;1;27_1;18;SALAMI;NA;2;0.5;0.5;0;460.055071510766;2;453.592;453592;453.592;SALAMI;70207021;INCAP;sustituto_por_criterio;TRUE;1,00;7
27;1;27_1;25;GUINEITO VERDE;NA;1;4;4;0;460.055071510766;1;NA;NA;NA;GUINEITO VERDE;70212011;INCAP;directa;TRUE;0,66;7
217;1;217_1;25;GUINEITO VERDE;NA;1;1;1;0;389.15625;1;NA;NA;NA;GUINEITO VERDE;70212011;INCAP;directa;TRUE;0,66;7
27;1;27_1;29;AZUCARES;NA;2;5;5;0;460.055071510766;2;453.592;NA;453.592;AZUCARES;70215001;INCAP;directa;TRUE;1,00;7
279;1;279_1;5;AVENA;98;3;1;1;0;415.510416666666;98;NA;NA;NA;AVENA;70213008;INCAP;directa;TRUE;1,00;7
217;1;217_1;26;PAPAS;NA;2;1;2;1;389.15625;2;453.592;NA;453.592;PAPAS;70211127;INCAP;directa;TRUE;0,75;7
217;1;217_1;27;HABICHUELAS SUELTAS;NA;2;1;3;2;389.15625;2;453.592;NA;453.592;HABICHUELAS SUELTAS;70209050;INCAP;directa;TRUE;1,00;7
279;1;279_1;6;FIEDOS O SPAGUETTIS (PASTAS);56;3;1;1;0;415.510416666666;56;NA;NA;NA;FIEDOS O SPAGUETTIS (PASTAS);70213060;INCAP;directa;TRUE;1,00;7
217;1;217_1;29;AZUCARES;NA;2;4;4;0;389.15625;2;453.592;NA;453.592;AZUCARES;70215001;INCAP;directa;TRUE;1,00;7
217;1;217_1;30;CHOCOLATE O COCOA;NA;1;3;10;7;389.15625;1;NA;NA;NA;CHOCOLATE O COCOA;70217047;INCAP;requiere_revision;TRUE;1,00;7
279;1;279_1;13;LECHE LÍQUIDA;25;4;1;1;0;415.510416666666;25;NA;NA;NA;LECHE LíQUIDA;70201015;INCAP;directa;TRUE;1,00;7
229;1;229_1;7;ARROZ;NA;2;8;8;0;690.08260726615;2;453.592;NA;453.592;ARROZ;70213002;INCAP;directa;TRUE;1,00;7
229;1;229_1;14;LECHE EN POLVO;56;3;1;1;0;690.08260726615;56;NA;NA;NA;LECHE EN POLVO;7025;INCAP;directa;TRUE;1,00;7
229;1;229_1;16;ACEITE;20;5;1;1;0;690.08260726615;20;NA;NA;NA;ACEITE;70216010;INCAP;directa;TRUE;1,00;7
229;1;229_1;26;PAPAS;NA;2;3;3;0;690.08260726615;2;453.592;NA;453.592;PAPAS;70211127;INCAP;directa;TRUE;0,75;7
229;1;229_1;29;AZUCARES;NA;2;2;2;0;690.08260726615;2;453.592;NA;453.592;AZUCARES;70215001;INCAP;directa;TRUE;1,00;7
220;1;220_1;4;HARÍNA DE MAÍZ;56;4;1;2;1;389.15625;56;NA;NA;NA;HARÍNA DE MAÍZ;70213031;INCAP;sustituto_por_criterio;TRUE;1,00;7
220;1;220_1;5;AVENA;56;3;0.5;1;0.5;389.15625;56;NA;NA;NA;AVENA;70213008;INCAP;directa;TRUE;1,00;7
220;1;220_1;6;FIEDOS O SPAGUETTIS (PASTAS);56;4;1;2;1;389.15625;56;NA;NA;NA;FIEDOS O SPAGUETTIS (PASTAS);70213060;INCAP;directa;TRUE;1,00;7
220;1;220_1;16;ACEITE;57;4;1;1;0;389.15625;57;3785.41;3785410;3785.41;ACEITE;70216010;INCAP;directa;TRUE;1,00;7
220;1;220_1;25;GUINEITO VERDE;NA;1;6;6;0;389.15625;1;NA;NA;NA;GUINEITO VERDE;70212011;INCAP;directa;TRUE;0,66;7
220;1;220_1;27;HABICHUELAS SUELTAS;56;2;0.75;1;0.25;389.15625;56;NA;NA;NA;HABICHUELAS SUELTAS;70209050;INCAP;directa;TRUE;1,00;7
220;1;220_1;29;AZUCARES;NA;2;1.5;1.5;0;389.15625;2;453.592;NA;453.592;AZUCARES;70215001;INCAP;directa;TRUE;1,00;7
219;1;219_1;15;HUEVOS;NA;1;2;2;0;389.15625;1;NA;NA;NA;HUEVOS;70202002;INCAP;directa;TRUE;0,88;7
